mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-10.16,2.618,-1.912,0.8688,1.415,1.095,not_hand_wash
-10.52,2.055,-2.997,2.245,1.355,1.395,not_hand_wash
1.239,7.802,-1.21,6.73,3.008,1.77,not_hand_wash
9.174,1.154,2.664,1.351,3.24,1.454,not_hand_wash
6.286,1.395,-1.715,1.918,5.593,1.436,not_hand_wash
-7.385,4.728,-2.89,1.184,3.688,3.128,not_hand_wash
-10.35,1.974,-2.383,0.9051,1.302,0.9327,not_hand_wash
-8.959,1.658,-2.878,1.941,0.9183,1.298,not_hand_wash
-9.795,2.477,-3.376,2.337,2.039,0.8623,not_hand_wash
-10.28,2.274,-2.516,0.8556,1.39,0.737,not_hand_wash
-10.59,3.761,-2.293,1.21,0.8811,0.9143,not_hand_wash
-11.12,3.44,-2.139,1.184,0.8871,1.158,not_hand_wash
-10.61,3.43,-2.484,1.882,0.4615,1.191,not_hand_wash
-9.748,2.567,-2.232,1.833,0.3925,1.537,not_hand_wash
-11.19,2.461,-2.346,1.259,0.9653,1.228,not_hand_wash
-9.991,3.12,-2.321,1.223,1.027,0.935,not_hand_wash
-10.01,3.119,-2.131,1.42,0.8068,1.083,not_hand_wash
-11.09,2.901,-2.252,1.249,0.3847,1.0,not_hand_wash
-11.23,3.906,-2.397,1.603,0.4665,1.465,not_hand_wash
-9.827,2.117,-2.295,1.324,0.4592,1.095,not_hand_wash
-10.64,2.828,-2.167,1.103,1.05,0.901,not_hand_wash
-10.35,2.536,-2.25,1.157,1.427,0.9446,not_hand_wash
-10.04,2.414,-1.84,0.7187,1.278,0.8733,not_hand_wash
-10.09,2.182,-2.098,0.7802,0.9292,1.286,not_hand_wash
-10.79,2.215,-2.035,1.186,0.4816,1.7,not_hand_wash
-8.875,3.887,-3.723,4.441,3.05,2.555,not_hand_wash
1.328,1.865,5.418,2.739,5.549,2.507,not_hand_wash
-12.26,6.163,-3.063,3.939,1.137,2.559,not_hand_wash
-9.454,4.227,-1.748,1.342,0.8616,0.9339,not_hand_wash
-11.44,3.505,-1.75,2.097,0.6908,2.069,not_hand_wash
-9.348,2.551,-2.46,1.127,0.6636,0.8496,not_hand_wash
-11.09,2.534,-2.65,1.382,0.7618,1.141,not_hand_wash
-10.27,2.398,-2.357,1.085,1.212,0.8201,not_hand_wash
-9.944,2.739,-1.835,0.9865,0.7491,1.123,not_hand_wash
-10.26,2.292,-2.001,1.155,1.055,0.9217,not_hand_wash
-10.02,2.345,-2.144,1.166,0.972,1.053,not_hand_wash
-9.923,2.31,-2.096,1.306,1.045,0.9311,not_hand_wash
-10.6,2.098,-2.128,1.112,1.177,0.9317,not_hand_wash
-9.845,2.628,-1.921,1.147,0.8533,1.31,not_hand_wash
-10.87,2.989,-1.878,0.8978,0.5709,1.022,not_hand_wash
-11.25,3.302,-2.346,1.196,0.783,1.27,not_hand_wash
-9.903,2.784,-2.223,1.51,0.4472,0.847,not_hand_wash
-11.78,2.977,-2.849,1.111,0.3648,1.158,not_hand_wash
-11.11,4.161,-2.572,1.894,0.5029,1.173,not_hand_wash
-9.808,3.264,-2.309,1.619,0.2821,1.201,not_hand_wash
-10.59,3.001,-2.271,1.628,0.3512,1.123,not_hand_wash
-10.68,2.848,-2.352,1.11,1.149,1.173,not_hand_wash
-9.852,2.864,-2.207,1.438,0.8497,0.8939,not_hand_wash
-11.02,3.665,-2.596,1.566,0.9632,1.215,not_hand_wash
-10.25,2.645,-2.226,1.092,1.194,0.8637,not_hand_wash
-9.46,2.248,-1.775,1.112,1.096,0.9383,not_hand_wash
-10.07,2.375,-1.82,0.7964,1.136,0.9804,not_hand_wash
-9.694,2.866,-2.297,0.9968,0.9355,0.5331,not_hand_wash
-9.343,2.567,-1.863,1.23,1.138,1.092,not_hand_wash
-9.558,2.793,-4.052,3.001,-0.9979,2.656,not_hand_wash
-6.633,2.857,-4.861,3.457,-1.088,2.543,not_hand_wash
-10.58,2.95,-2.534,0.7685,0.6942,1.972,not_hand_wash
-9.075,1.785,-1.653,1.31,1.525,0.6768,not_hand_wash
-9.878,2.119,-2.427,1.214,1.457,0.7793,not_hand_wash
-8.438,2.34,-3.625,1.68,-0.811,2.198,not_hand_wash
-8.196,2.783,-4.167,2.801,-1.056,2.026,not_hand_wash
-10.3,2.09,-2.17,1.192,1.345,1.045,not_hand_wash
-9.649,2.215,-2.33,1.08,0.7258,0.8559,not_hand_wash
-9.812,2.172,-2.208,0.7647,1.354,0.742,not_hand_wash
-9.98,2.16,-2.086,0.6375,1.464,0.8692,not_hand_wash
-9.318,2.26,-1.795,0.6614,1.328,0.8093,not_hand_wash
-9.373,2.444,-1.681,0.7874,1.286,0.7853,not_hand_wash
-10.11,2.191,-1.969,0.8591,1.313,0.7368,not_hand_wash
-9.302,2.227,-2.031,0.5972,1.079,0.6547,not_hand_wash
