mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.595,0.4771,-1.684,1.079,8.56,0.6573,not_hand_wash
-3.818,0.1509,-2.473,0.8214,8.264,0.277,not_hand_wash
-3.983,0.38,-2.792,0.7138,8.07,0.4042,not_hand_wash
-4.027,0.4712,-3.103,0.7267,7.913,0.5181,not_hand_wash
-4.426,0.3715,-3.386,0.8011,7.542,0.4682,not_hand_wash
-3.923,0.307,-2.862,0.6615,8.065,0.3818,not_hand_wash
-4.417,1.052,-2.351,2.082,7.71,1.366,not_hand_wash
-4.953,0.9696,-1.657,1.162,7.989,1.662,not_hand_wash
-3.734,1.458,-0.6347,2.011,8.465,0.7487,not_hand_wash
-2.576,2.669,-0.8028,0.8787,8.822,1.064,not_hand_wash
-1.962,2.695,-1.41,4.818,7.646,4.348,hand_wash
-2.206,1.245,3.79,1.966,8.649,1.174,hand_wash
-4.451,2.776,-6.967,2.706,-1.215,4.663,hand_wash
-3.591,2.441,-7.809,3.521,-0.5125,4.792,hand_wash
-2.397,2.713,-8.244,4.255,-0.01438,5.166,hand_wash
-2.256,2.296,-6.852,4.036,1.264,5.713,hand_wash
-3.346,3.186,-6.82,2.735,-5.284,4.357,hand_wash
-4.023,3.166,-5.64,2.854,-3.89,6.161,hand_wash
-5.506,1.377,-5.958,2.295,-0.8682,4.397,hand_wash
-5.082,1.326,-6.754,1.892,-1.303,3.859,hand_wash
-5.078,1.268,-6.684,1.881,-0.162,4.091,hand_wash
-4.379,1.986,-7.405,3.494,-0.7128,3.977,hand_wash
-3.422,2.045,-7.924,3.074,-0.3033,4.206,hand_wash
-3.55,1.615,-7.464,3.203,1.131,4.745,hand_wash
-3.042,2.942,-5.835,3.266,-6.468,4.687,hand_wash
-4.046,3.863,-4.292,4.504,-4.592,6.903,hand_wash
-5.787,1.83,-4.15,3.072,-1.594,5.937,hand_wash
-5.228,1.2,-5.292,2.072,-1.597,5.555,hand_wash
-4.83,2.101,-7.104,3.379,-0.8749,3.769,hand_wash
-2.902,1.992,-7.967,3.163,0.4422,4.738,hand_wash
-2.274,1.483,-6.677,3.708,2.558,4.967,hand_wash
-4.698,1.958,-5.777,3.943,0.4116,5.24,hand_wash
-4.039,1.929,-7.661,3.005,-0.3173,4.366,hand_wash
-2.795,2.307,-7.988,4.0,-0.3718,4.79,hand_wash
-3.528,2.461,-7.373,3.434,-0.9665,5.425,hand_wash
-4.529,1.263,-6.326,3.193,0.691,4.733,hand_wash
-4.775,0.9628,-5.096,3.193,1.065,5.679,hand_wash
-7.741,4.797,-3.25,5.366,2.913,3.894,not_hand_wash
-10.82,2.331,-4.07,1.41,0.7684,1.409,not_hand_wash
-9.809,2.19,-2.93,1.249,1.427,1.171,not_hand_wash
-9.447,1.536,-2.485,0.6583,1.279,1.278,not_hand_wash
-9.701,2.286,-2.312,0.8807,1.317,1.07,not_hand_wash
-9.705,2.449,-2.117,0.7975,0.8988,0.8974,not_hand_wash
-10.54,2.888,-1.941,2.0,0.5664,1.81,not_hand_wash
-9.829,2.618,-3.206,1.99,-0.1482,1.533,not_hand_wash
-10.08,3.038,-2.251,1.159,0.6725,1.165,not_hand_wash
-11.08,2.571,-2.369,1.028,0.5589,1.46,not_hand_wash
-10.46,2.757,-2.716,1.224,0.9199,1.271,not_hand_wash
-9.468,2.356,-2.53,2.029,1.544,1.819,not_hand_wash
-9.34,4.124,-3.124,3.422,1.46,1.375,not_hand_wash
5.818,4.807,0.5619,2.931,4.656,1.937,not_hand_wash
-9.761,2.201,-2.652,1.384,1.229,1.162,not_hand_wash
-10.52,2.963,-2.87,1.652,1.261,1.059,not_hand_wash
-10.43,3.236,-2.082,1.665,0.7572,1.399,not_hand_wash
-10.42,2.906,-2.502,1.269,0.7963,0.9864,not_hand_wash
-10.73,3.224,-2.146,1.441,0.5396,1.249,not_hand_wash
-10.19,2.347,-2.203,0.9541,1.212,0.9365,not_hand_wash
-9.086,3.979,-1.943,3.692,1.789,2.411,not_hand_wash
-7.418,7.249,-0.3066,4.468,2.368,2.993,not_hand_wash
-10.48,3.06,-2.244,1.655,0.6043,1.416,not_hand_wash
-10.18,2.501,-2.116,1.088,1.075,0.9817,not_hand_wash
-10.29,2.246,-2.099,1.205,1.005,0.9832,not_hand_wash
-10.64,3.053,-2.06,1.111,0.7622,1.2,not_hand_wash
-10.91,3.448,-2.55,1.554,0.4389,1.07,not_hand_wash
-10.32,3.039,-2.319,1.476,0.5305,1.164,not_hand_wash
-10.34,3.13,-2.307,1.382,1.042,1.059,not_hand_wash
